LossChange	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.0014602374	17.59856629371643	32	59.1764705882353	30.567640125423	155.0	20.0	59.1764705882353	30.567640125423	1006	33779
0.0005112174	18.171494007110596	33	74.07142857142857	23.07275537980513	116.0	42.0	74.07142857142857	23.07275537980513	1037	34816
0.0003445847	18.79193902015686	34	77.3076923076923	29.18214579389416	158.0	47.0	77.3076923076923	29.18214579389416	1005	35821
4.282687e-06	19.506132125854492	35	75.71428571428571	26.799329872828036	129.0	39.0	75.71428571428571	26.799329872828036	1060	36881
0.00080589706	20.19617772102356	36	74.07142857142857	33.43108964873925	158.0	33.0	74.07142857142857	33.43108964873925	1037	37918
3.562169e-05	20.973548650741577	37	86.16666666666667	36.41161292164294	171.0	35.0	86.16666666666667	36.41161292164294	1034	38952
0.0003718784	21.697654724121094	38	77.92307692307692	17.877624771082463	105.0	47.0	77.92307692307692	17.877624771082463	1013	39965
0.000764086	22.45204186439514	39	86.91666666666667	32.14669068850202	152.0	45.0	86.91666666666667	32.14669068850202	1043	41008
0.00055371225	23.209213256835938	40	77.23076923076923	35.95328988082228	180.0	40.0	77.23076923076923	35.95328988082228	1004	42012
0.0010992084	23.990702629089355	41	79.46153846153847	28.5080700709746	141.0	38.0	79.46153846153847	28.5080700709746	1033	43045
0.00039339717	24.76597499847412	42	70.2	22.87123375188434	114.0	43.0	70.2	22.87123375188434	1053	44098
0.001384927	25.54044485092163	43	80.84615384615384	28.72909582192872	128.0	43.0	80.84615384615384	28.72909582192872	1051	45149
0.0006515367	26.23168110847473	44	96.54545454545455	37.17859510369236	179.0	51.0	96.54545454545455	37.17859510369236	1062	46211
0.0022462131	26.9024076461792	45	97.81818181818181	31.636624868304953	172.0	50.0	97.81818181818181	31.636624868304953	1076	47287
0.0016189136	27.526082277297974	46	100.5	47.297462934072904	200.0	37.0	100.5	47.297462934072904	1005	48292
0.0014486045	28.262361526489258	47	92.25	30.768287245149022	174.0	54.0	92.25	30.768287245149022	1107	49399
0.0016434051	28.99010705947876	48	103.63636363636364	38.95982249183177	166.0	42.0	103.63636363636364	38.95982249183177	1140	50539
0.0018240009	29.64266800880432	49	172.83333333333334	34.9972221119842	200.0	110.0	172.83333333333334	34.9972221119842	1037	51576
0.0010832241	30.353544235229492	50	115.9	37.64159932840261	192.0	51.0	115.9	37.64159932840261	1159	52735
0.0025373348	30.860594272613525	51	158.28571428571428	43.924331967322054	200.0	71.0	158.28571428571428	43.924331967322054	1108	53843
0.0018880684	31.520766258239746	52	149.85714285714286	33.46823044290797	200.0	106.0	149.85714285714286	33.46823044290797	1049	54892
-0.0006103348	32.24983263015747	53	147.71428571428572	30.672064002999235	197.0	100.0	147.71428571428572	30.672064002999235	1034	55926
0.0025151987	32.960405588150024	54	179.5	31.537015288916187	200.0	117.0	179.5	31.537015288916187	1077	57003
0.00041949935	33.75756096839905	55	132.22222222222223	44.43166482933284	200.0	57.0	132.22222222222223	44.43166482933284	1190	58193
0.00028144196	34.48612999916077	56	177.83333333333334	24.422780804450223	200.0	129.0	177.83333333333334	24.422780804450223	1067	59260
0.00055054855	35.20249915122986	57	184.16666666666666	24.808712627265088	200.0	134.0	184.16666666666666	24.808712627265088	1105	60365
0.00095955806	35.93233919143677	58	150.85714285714286	34.34459230225573	200.0	108.0	150.85714285714286	34.34459230225573	1056	61421
0.0018167533	36.68290829658508	59	159.42857142857142	48.24300731818074	200.0	65.0	159.42857142857142	48.24300731818074	1116	62537
0.001828393	37.37612295150757	60	168.33333333333334	47.05198071164368	200.0	80.0	168.33333333333334	47.05198071164368	1010	63547
0.00070357043	38.12178564071655	61	184.5	23.077767078583086	200.0	138.0	184.5	23.077767078583086	1107	64654
